GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
0,"INTERNATIONAL CONFERENCE ON 3D IMAGING, MODELING, PROCESSING, VISUALIZATION & TRANSMISSION",3DIMPVT,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A],27,1230,C,27,1230,C,"19,88",314,A,"19,88",314,A,129,2565,129,2565,,,,,,,,,,,,,,,,,,,1
1,"INTERNATIONAL SYMPOSIUM ON 3D DATA PROCESSING, VISUALIZATION AND TRANSMISSION",3DPVT,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A],41,654,C,41,654,C,"19,54",321,A,"19,54",321,A,436,8518,436,8518,,,,,,,,,,,,,,,,,,,1
2,"3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO",3DTV-CON,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],29,1098,C,29,1098,C,"7,44",1034,C,"7,44",1034,C,555,4128,555,4128,,,,,,,,,,,,,,,,,,,1
3,IEEE SYMPOSIUM ON 3D USER INTERFACES,3DUI,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|C], MA:[C|B]",39,706,C,39,706,C,"12,1",612,B,"12,1",612,B,548,6631,548,6631,32,379,B,32,379,B,"9,11",509,C,"9,11",509,C,418,3808,418,3808,,,2
4,INTERNATIONAL CONFERENCE ON 3D VISION,3DV,Work in Progress,Work in Progress,MA:A-,A-,MA:[B|A],46,540,B,46,540,B,"20,46",305,A,"20,46",305,A,670,13710,670,13710,,,,,,,,,,,,,,,,,,,1
5,"INTERNATIONAL CONFERENCE ON P2P, PARALLEL, GRID, CLOUD, AND INTERNET COMPUTING",3PGCIC,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,14,862,C,14,862,C,"2,29",972,D,"2,29",972,D,599,1369,599,1369,,,1
6,ASIAN SOLID-STATE CIRCUITS CONFERENCE,A-SSCC,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],36,810,C,36,810,C,"7,03",1095,C,"7,03",1095,C,1611,11327,1611,11327,,,,,,,,,,,,,,,,,,,1
7,SYMPOSIUM OF ASIAN ASSOCIATION FOR ALGORITHMS AND COMPUTATION,AAAC,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
8,CONFERENCE ON ARTIFICIAL INTELLIGENCE,AAAI,1,A++,"CORE:A++, LiveSHINE:A++, MA:A++","A++, A++, A++","CORE:[A++], LiveSHINE:[A++|A], MA:[A++|A]",230,17,A++,230,17,A++,"21,56",275,A,"21,56",275,A,19301,416213,19301,416213,105,26,A++,105,26,A++,"19,76",182,A,"19,76",182,A,3836,75808,3836,75808,A++,A++,3
9,ALGORITHMIC APPLICATIONS IN MANAGEMENT,AAIM,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C, MA:C","C, C, C","CORE:[C], LiveSHINE:[C|D], MA:[C|D]",21,1676,C,21,1676,C,"6,11",1260,D,"6,11",1260,D,389,2376,389,2376,21,667,C,21,667,C,"6,38",684,D,"6,38",684,D,360,2296,360,2296,C,C,3
